,race,gender,age,filename,database
3654,0,1,23,316684_02M23.JPG,morph
269,0,0,32,137300_0F32.JPG,morph
146,0,1,51,054162_3M51.JPG,morph
3312,0,1,16,332898_00M16.JPG,morph
317,0,0,33,181298_02F33.JPG,morph
1340,0,1,41,059894_6M41.JPG,morph
3764,0,0,17,328339_02F17.JPG,morph
4935,0,1,62,062875_7M62.JPG,morph
3791,0,0,22,342892_03F22.JPG,morph
3786,0,1,45,281715_02M45.JPG,morph
4013,0,1,22,318920_02M22.JPG,morph
215,0,0,38,230053_01F38.JPG,morph
60,0,0,40,061973_0F40.JPG,morph
3606,0,1,42,061102_1M42.JPG,morph
1596,0,1,26,227348_08M26.JPG,morph
5059,0,0,40,109659_0F40.JPG,morph
5562,0,0,36,132743_03F36.JPG,morph
4575,0,1,37,326935_03M37.JPG,morph
5278,0,1,16,335350_00M16.JPG,morph
3690,0,1,40,103359_0M40.JPG,morph
3930,0,1,23,266204_00M23.JPG,morph
2635,0,1,39,095462_0M39.JPG,morph
1083,0,1,46,130630_21M46.JPG,morph
5400,0,0,18,345402_00F18.JPG,morph
4037,0,0,41,057521_2F41.JPG,morph
1338,0,1,62,047322_2M62.JPG,morph
2193,0,0,35,072353_0F35.JPG,morph
1758,0,0,40,076678_0F40.JPG,morph
3239,0,1,33,168091_00M33.JPG,morph
3388,0,1,21,329016_01M21.JPG,morph
4448,0,1,43,058258_1M43.JPG,morph
4734,0,1,44,077611_1M44.JPG,morph
5506,0,1,26,227348_07M26.JPG,morph
5213,0,1,43,268807_00M43.JPG,morph
256,0,1,30,182550_02M30.JPG,morph
840,0,0,21,333928_01F21.JPG,morph
772,0,1,38,088377_2M38.JPG,morph
5184,0,1,39,085496_1M39.JPG,morph
4405,0,0,39,092803_0F39.JPG,morph
3276,0,1,19,305466_02M19.JPG,morph
1749,0,1,27,213102_03M27.JPG,morph
2316,0,1,44,051325_8M44.JPG,morph
4654,0,1,25,330798_02M25.JPG,morph
2012,0,1,17,315403_00M17.JPG,morph
5434,0,1,24,264989_00M24.JPG,morph
4209,0,1,24,261073_06M24.JPG,morph
1074,0,1,40,100396_02M40.JPG,morph
4778,0,1,20,301604_02M20.JPG,morph
4977,0,0,56,319565_00F56.JPG,morph
3865,0,0,37,310017_02F37.JPG,morph
4873,0,1,36,202129_04M36.JPG,morph
3054,0,1,32,138724_04M32.JPG,morph
