,race,gender,age,filename,database
2362,0,1,22,334271_00M22.JPG,morph
3141,0,1,32,100179_1M32.JPG,morph
4697,0,1,36,329575_00M36.JPG,morph
4540,0,1,40,321115_02M40.JPG,morph
4281,0,0,24,326715_00F24.JPG,morph
460,0,1,36,112112_3M36.JPG,morph
248,0,1,52,211160_05M52.JPG,morph
2669,0,0,52,295777_00F52.JPG,morph
4905,0,1,44,059636_1M44.JPG,morph
3597,0,0,23,296384_03F23.JPG,morph
2994,0,1,42,236861_00M42.JPG,morph
4566,0,1,42,329342_01M42.JPG,morph
5080,0,1,30,132878_02M30.JPG,morph
3128,0,0,31,182885_01F31.JPG,morph
399,0,1,45,056708_3M45.JPG,morph
2806,0,1,27,194059_01M27.JPG,morph
33,0,1,38,066009_5M38.JPG,morph
3361,0,0,44,162502_03F44.JPG,morph
4700,0,1,43,073914_2M43.JPG,morph
3466,0,1,35,127195_0M35.JPG,morph
5748,0,1,54,009055_0M54.JPG,morph
2594,0,1,50,260710_09M50.JPG,morph
1810,0,1,38,292970_01M38.JPG,morph
17,0,1,52,211160_08M52.JPG,morph
1086,0,1,32,112196_0M32.JPG,morph
5232,0,1,42,144047_12M42.JPG,morph
2051,0,1,16,324370_01M16.JPG,morph
2880,0,1,46,051383_1M46.JPG,morph
803,0,1,38,125897_1M38.JPG,morph
4909,0,1,42,317298_01M42.JPG,morph
538,0,1,22,241940_01M22.JPG,morph
2659,0,1,37,071465_0M37.JPG,morph
5580,0,1,39,327312_05M39.JPG,morph
2264,0,0,53,093682_0F53.JPG,morph
1058,0,1,52,069975_24M52.JPG,morph
3649,0,1,38,316088_04M38.JPG,morph
5135,0,1,40,188869_04M40.JPG,morph
3703,0,0,23,308243_01F23.JPG,morph
4349,0,1,22,240575_00M22.JPG,morph
2719,0,0,32,307919_09F32.JPG,morph
3151,0,1,41,321567_02M41.JPG,morph
4401,0,1,28,208435_06M28.JPG,morph
253,0,1,33,308130_01M33.JPG,morph
3091,0,1,17,324641_00M17.JPG,morph
5627,0,1,41,115892_0M41.JPG,morph
5792,0,0,45,055734_3F45.JPG,morph
118,0,0,31,165370_01F31.JPG,morph
2346,0,1,28,190875_00M28.JPG,morph
5317,0,1,31,158338_00M31.JPG,morph
77,0,0,27,195311_00F27.JPG,morph
1351,0,1,37,075269_1M37.JPG,morph
570,0,1,18,335186_02M18.JPG,morph
863,0,1,32,316464_04M32.JPG,morph
14,0,1,39,098116_0M39.JPG,morph
5913,0,0,37,323417_00F37.JPG,morph
982,0,1,20,289754_06M20.JPG,morph
433,0,1,39,323968_00M39.JPG,morph
2130,0,1,22,310811_00M22.JPG,morph
273,0,1,24,238206_00M24.JPG,morph
725,0,0,34,098510_1F34.JPG,morph
3442,0,1,18,299490_00M18.JPG,morph
1650,0,1,38,304221_02M38.JPG,morph
102,0,1,46,173355_00M46.JPG,morph
3576,0,0,30,177950_01F30.JPG,morph
1699,0,1,21,271397_01M21.JPG,morph
5311,0,1,41,071289_0M41.JPG,morph
1363,0,0,17,315860_05F17.JPG,morph
4212,0,1,19,305167_05M19.JPG,morph
178,0,0,40,101627_06F40.JPG,morph
3697,0,0,39,120473_03F39.JPG,morph
2739,0,1,31,127263_6M31.JPG,morph
4740,0,1,25,248646_03M25.JPG,morph
2439,0,1,33,143541_03M33.JPG,morph
5258,0,0,37,323417_02F37.JPG,morph
2275,0,1,42,056111_1M42.JPG,morph
931,0,1,35,331689_02M35.JPG,morph
1309,0,1,26,202662_02M26.JPG,morph
2910,0,1,21,279040_01M21.JPG,morph
5241,0,0,35,103664_5F35.JPG,morph
1241,0,1,46,046970_0M46.JPG,morph
3953,0,0,35,096516_1F35.JPG,morph
2476,0,1,42,163268_02M42.JPG,morph
4087,0,1,45,332336_00M45.JPG,morph
4677,0,1,51,048618_0M51.JPG,morph
5009,0,1,35,321993_03M35.JPG,morph
4815,0,1,21,303396_01M21.JPG,morph
1743,0,1,54,110352_0M54.JPG,morph
70,0,1,47,114139_0M47.JPG,morph
787,0,1,50,036411_0M50.JPG,morph
